CUST_ID,Number of Children,Age,Gender,Education level,Marital status,Region,Occupation Group,loan,utility,finance,shopping,financial_services,health_and_care,home_lifestyle,transport_travel,leisure,public_services
2282,1,42.0,Female,bachelor's degree,married,Central,Professional,0.1,0.0,0.75,0.1,0.0,0.0,0.0,0.0,0.05,0.0
737,0,44.0,Female,bachelor's degree,single,Central,Entrepreneur,0.0,0.0,0.9696969696969696,0.0,0.0,0.0,0.0303030303030303,0.0,0.0,0.0
3418,0,33.0,Male,bachelor's degree,single,Southern,Corporate Employee,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.25,0.0,0.0
1781,1,54.0,Male,bachelor's degree,married,Central,Corporate Employee,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0
3419,0,55.0,Male,bachelor's degree,married,Central,Corporate Employee,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
1906,0,33.0,Female,bachelor's degree,single,Central,Corporate Employee,0.0,0.0,0.4,0.4,0.0,0.0,0.2,0.0,0.0,0.0
1992,0,39.0,Male,bachelor's degree,single,Northern,Corporate Employee,0.2727272727272727,0.0,0.3636363636363636,0.2727272727272727,0.0,0.0909090909090909,0.0,0.0,0.0,0.0
1158,0,47.0,Male,bachelor's degree,single,Central,Corporate Employee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
965,0,51.0,Male,high school,single,Eastern,Entrepreneur,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
691,0,62.0,Female,others,divorce,Northern,Unemployed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3705,0,54.0,Female,high school,married,Northern,Entrepreneur,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4160,0,47.0,Male,bachelor's degree,single,Central,Corporate Employee,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3976,0,47.0,Female,high school,single,Southern,Corporate Employee,0.375,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
1930,1,62.0,Male,vocational certificate,married,Southern,Entrepreneur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2488,0,29.0,Male,master's degree,single,Central,Corporate Employee,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0
1043,0,40.0,Male,bachelor's degree,divorce,Central,Corporate Employee,0.2,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2888,0,30.0,Female,others,single,Central,Corporate Employee,0.2,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.1,0.0
2219,0,24.0,Female,others,single,Northern,Student,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2979,1,50.0,Female,high school,married,Central,Entrepreneur,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1955,0,28.0,Female,high school,single,Central,Corporate Employee,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3356,0,52.0,Male,bachelor's degree,married,Central,Entrepreneur,0.0285714285714285,0.1142857142857142,0.0,0.0285714285714285,0.0,0.0,0.0857142857142857,0.0571428571428571,0.6857142857142857,0.0
184,0,24.0,Male,high school,single,Southern,Entrepreneur,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1831,0,45.0,Male,master's degree,married,Central,Corporate Employee,0.5714285714285714,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0
3906,0,69.0,Male,bachelor's degree,married,Central,Corporate Employee,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,0,40.0,Male,vocational certificate,single,Northern,Corporate Employee,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
2644,0,30.0,Female,bachelor's degree,single,Central,Corporate Employee,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2881,0,32.0,Male,others,married,Central,Corporate Employee,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2079,0,47.0,Female,vocational certificate,married,Central,Entrepreneur,0.1428571428571428,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
2418,0,35.0,Male,high school,single,Eastern,Corporate Employee,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1616,0,43.0,Female,others,single,Central,Entrepreneur,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4272,0,50.0,Male,others,single,Central,Corporate Employee,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1566,0,35.0,Female,high school,divorce,Central,Entrepreneur,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703,0,31.0,Male,others,single,Central,Corporate Employee,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2096,1,56.0,Female,vocational certificate,married,Western,Entrepreneur,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
2277,0,47.0,Female,doctorate's degree,single,Northeastern,Professional,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3433,0,21.0,Female,high school,single,Northeastern,Student,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
4256,0,52.0,Male,others,single,Northeastern,Entrepreneur,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1583,0,43.0,Male,bachelor's degree,married,Central,Corporate Employee,0.25,0.0,0.5,0.125,0.0,0.0,0.125,0.0,0.0,0.0
3469,0,46.0,Female,vocational certificate,single,Eastern,Entrepreneur,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
1367,0,29.0,Female,high school,divorce,Central,Corporate Employee,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1968,0,28.0,Male,bachelor's degree,single,Eastern,Corporate Employee,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
1422,0,55.0,Male,less than high school,married,Central,Entrepreneur,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
970,0,27.0,Female,others,single,Northeastern,Other,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2440,0,33.0,Female,others,single,Central,Corporate Employee,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1085,0,41.0,Male,high school,single,Central,Corporate Employee,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3653,0,22.0,Male,high school,single,Central,Corporate Employee,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3709,1,44.0,Male,vocational certificate,married,Northeastern,Corporate Employee,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0
3931,0,46.0,Male,bachelor's degree,single,Central,Corporate Employee,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,0,27.0,Male,bachelor's degree,single,Northeastern,Corporate Employee,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
3277,0,28.0,Female,master's degree,single,Central,Corporate Employee,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1611,0,38.0,Female,high school,single,Central,Entrepreneur,0.1111111111111111,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0
4002,0,28.0,Female,others,single,Northern,Entrepreneur,0.0,0.0,0.8695652173913043,0.0,0.0434782608695652,0.0,0.0434782608695652,0.0,0.0434782608695652,0.0
1724,0,25.0,Female,others,single,Eastern,Corporate Employee,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3825,0,33.0,Male,vocational certificate,single,Central,Corporate Employee,0.6363636363636364,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0,0.0909090909090909,0.0,0.0,0.0,0.0
416,0,24.0,Male,others,single,Central,Corporate Employee,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,0,48.0,Male,high school,married,Central,Corporate Employee,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3067,0,28.0,Female,bachelor's degree,single,Central,Corporate Employee,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
2925,0,60.0,Male,high school,married,Central,Entrepreneur,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2874,0,63.0,Male,bachelor's degree,single,Eastern,Corporate Employee,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2252,0,63.0,Male,master's degree,married,Central,Homemaker,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3478,0,51.0,Female,bachelor's degree,married,Eastern,Corporate Employee,0.375,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4338,0,30.0,Male,bachelor's degree,married,Central,Corporate Employee,0.1111111111111111,0.0,0.6666666666666666,0.1481481481481481,0.0,0.0,0.037037037037037,0.0,0.0,0.037037037037037
109,0,43.0,Male,others,single,Northeastern,Entrepreneur,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
913,2,53.0,Male,bachelor's degree,married,Central,Entrepreneur,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3082,0,49.0,Female,others,single,Central,Corporate Employee,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3946,0,30.0,Female,others,single,Central,Corporate Employee,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0,26.0,Male,others,single,Central,Corporate Employee,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0,34.0,Female,bachelor's degree,single,Central,Corporate Employee,0.0,0.0,0.7391304347826086,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.0
369,0,47.0,Female,bachelor's degree,married,Southern,Entrepreneur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
1729,1,50.0,Male,bachelor's degree,divorce,Southern,Corporate Employee,0.1666666666666666,0.0,0.0833333333333333,0.1666666666666666,0.5833333333333334,0.0,0.0,0.0,0.0,0.0
2849,0,39.0,Female,vocational certificate,married,Southern,Entrepreneur,0.0,0.5384615384615384,0.3846153846153846,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0
2771,3,50.0,Male,high school,married,Central,Corporate Employee,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
911,0,47.0,Female,bachelor's degree,married,Central,Agriculture/Trade,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1147,1,35.0,Female,less than high school,married,Western,Corporate Employee,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2637,0,60.0,Female,high school,divorce,Central,Entrepreneur,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2145,0,40.0,Male,bachelor's degree,married,Central,Corporate Employee,0.0909090909090909,0.0,0.4545454545454545,0.4545454545454545,0.0,0.0,0.0,0.0,0.0,0.0
325,1,55.0,Female,others,married,Western,Entrepreneur,0.0,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0
